,sepal length mean,sepal length median,sepal length std,sepal width mean,sepal width median,sepal width std,petal length mean,petal length median,petal length std,petal width mean,petal width median,petal width std
0,10.943333333333333,10.899999999999999,10.943333333333333,6.557333333333334,6.5,3.935866284936698,5.158,5.75,5.158,3.257333333333334,3.2,0.6358662849366983
1,10.743333333333334,10.7,10.743333333333334,6.057333333333334,6.0,3.435866284936698,5.158,5.75,5.158,3.257333333333334,3.2,0.6358662849366983
2,10.543333333333333,10.5,10.543333333333333,6.257333333333333,6.2,3.6358662849366983,5.058000000000001,5.6499999999999995,5.058000000000001,3.257333333333334,3.2,0.6358662849366983
3,10.443333333333333,10.399999999999999,10.443333333333333,6.157333333333334,6.1,3.535866284936698,5.258000000000001,5.85,5.258000000000001,3.257333333333334,3.2,0.6358662849366983
4,10.843333333333334,10.8,10.843333333333334,6.657333333333334,6.6,4.035866284936699,5.158,5.75,5.158,3.257333333333334,3.2,0.6358662849366983
5,11.243333333333334,11.2,11.243333333333334,6.957333333333334,6.9,4.3358662849366985,5.458,6.05,5.458,3.4573333333333336,3.4,0.8358662849366982
6,10.443333333333333,10.399999999999999,10.443333333333333,6.457333333333334,6.4,3.835866284936698,5.158,5.75,5.158,3.3573333333333335,3.3,0.7358662849366981
7,10.843333333333334,10.8,10.843333333333334,6.457333333333334,6.4,3.835866284936698,5.258000000000001,5.85,5.258000000000001,3.257333333333334,3.2,0.6358662849366983
8,10.243333333333334,10.2,10.243333333333334,5.957333333333334,5.9,3.335866284936698,5.158,5.75,5.158,3.257333333333334,3.2,0.6358662849366983
9,10.743333333333334,10.7,10.743333333333334,6.157333333333334,6.1,3.535866284936698,5.258000000000001,5.85,5.258000000000001,3.1573333333333338,3.1,0.5358662849366982
10,11.243333333333334,11.2,11.243333333333334,6.757333333333333,6.7,4.135866284936698,5.258000000000001,5.85,5.258000000000001,3.257333333333334,3.2,0.6358662849366983
11,10.643333333333334,10.6,10.643333333333334,6.457333333333334,6.4,3.835866284936698,5.3580000000000005,5.949999999999999,5.3580000000000005,3.257333333333334,3.2,0.6358662849366983
12,10.643333333333334,10.6,10.643333333333334,6.057333333333334,6.0,3.435866284936698,5.158,5.75,5.158,3.1573333333333338,3.1,0.5358662849366982
13,10.143333333333334,10.1,10.143333333333334,6.057333333333334,6.0,3.435866284936698,4.8580000000000005,5.449999999999999,4.8580000000000005,3.1573333333333338,3.1,0.5358662849366982
14,11.643333333333334,11.6,11.643333333333334,7.057333333333334,7.0,4.435866284936698,4.958,5.55,4.958,3.257333333333334,3.2,0.6358662849366983
15,11.543333333333333,11.5,11.543333333333333,7.4573333333333345,7.4,4.8358662849366985,5.258000000000001,5.85,5.258000000000001,3.4573333333333336,3.4,0.8358662849366982
16,11.243333333333334,11.2,11.243333333333334,6.957333333333334,6.9,4.3358662849366985,5.058000000000001,5.6499999999999995,5.058000000000001,3.4573333333333336,3.4,0.8358662849366982
17,10.943333333333333,10.899999999999999,10.943333333333333,6.557333333333334,6.5,3.935866284936698,5.158,5.75,5.158,3.3573333333333335,3.3,0.7358662849366981
18,11.543333333333333,11.5,11.543333333333333,6.857333333333333,6.8,4.235866284936698,5.458,6.05,5.458,3.3573333333333335,3.3,0.7358662849366981
